Symbol_TF,Entry,Entry_Param,Exit,Exit_Param,PnL%,Win_Rate%,Trades
BTCUSDT_4h,RSI,40.0,RSI,45.0,56.71,98.46,65
ETHUSDT_1d,BB_Reversal,,SuperTrend,,56.54,92.31,13
BTCUSDT_1h,RSI,25.0,BB_Exit_B,0.7,56.25,98.04,51
BTCUSDT_1h,RSI,20.0,BB_Exit_B,0.7,56.14,100.0,29
BTCUSDT_1h,RSI,25.0,BB_Exit_B,0.6,56.06,98.11,53
BTCUSDT_4h,BB_Reversal,,RSI,60.0,56.02,97.44,39
ETHUSDT_1d,RSI,30.0,BB_Exit_B,0.65,55.87,100.0,9
BTCUSDT_1h,RSI,25.0,BB_Exit_B,0.75,55.17,98.0,50
BTCUSDT_4h,RSI,30.0,RSI,50.0,54.61,96.88,32
BTCUSDT_1h,RSI,20.0,BB_Exit_B,0.65,53.97,100.0,29
ETHUSDT_1d,BB_Reversal,,RSI,60.0,53.57,90.91,11
BTCUSDT_1h,RSI,25.0,BB_Exit_B,0.65,53.48,98.08,52
BTCUSDT_1h,RSI,25.0,BB_Exit_B,0.9,53.32,97.67,43
BTCUSDT_1d,RSI,30.0,RSI,45.0,53.24,87.5,8
ETHUSDT_4h,BB_Reversal,,BB_Exit_B,0.65,52.21,94.12,17
BTCUSDT_1h,RSI,20.0,BB_Exit_B,0.6,51.68,100.0,30
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_B,0.6,50.69,98.86,88
BTCUSDT_4h,RSI,30.0,RSI,45.0,49.94,97.22,36
BTCUSDT_1h,RSI,30.0,SuperTrend,,49.9,98.15,54
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_B,0.65,49.82,98.8,83
BTCUSDT_4h,RSI,40.0,SuperTrend,,49.71,97.56,41
BTCUSDT_1h,RSI,20.0,SuperTrend,,49.68,100.0,28
BTCUSDT_1h,RSI,25.0,BB_Exit_B,0.85,48.65,97.67,43
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_B,0.8,48.41,98.59,71
BTCUSDT_1h,RSI,30.0,RSI,60.0,48.24,98.04,51
BTCUSDT_4h,KAMA_SuperTrend,,SuperTrend,,47.95,96.88,32
BTCUSDT_4h,RSI,20.0,SuperTrend,,47.8,100.0,8
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_B,0.9,47.77,98.25,57
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_B,0.7,46.85,98.68,76
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_B,0.85,46.71,98.44,64
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_B,0.75,45.33,98.67,75
ETHUSDT_4h,RSI,30.0,RSI,60.0,44.8,95.24,21
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.75,44.78,96.43,28
ETHUSDT_4h,BB_Reversal,,BB_Exit_B,0.6,44.49,95.0,20
ETHUSDT_1h,RSI,25.0,BB_Exit_B,0.7,44.23,96.3,27
ETHUSDT_1d,BB_Reversal,,RSI,45.0,43.98,95.45,22
BTCUSDT_4h,RSI,20.0,RSI,50.0,43.69,100.0,8
BTCUSDT_1h,RSI,25.0,BB_Exit_A,,43.11,98.21,56
BTCUSDT_4h,RSI,20.0,BB_Exit_A,,43.1,100.0,8
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.6,42.86,96.77,31
BTCUSDT_1h,RSI,20.0,BB_Exit_A,,42.83,100.0,29
ETHUSDT_1h,RSI,25.0,BB_Exit_B,0.65,42.36,96.3,27
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.6,42.2,90.0,10
ETHUSDT_4h,BB_Reversal,,BB_Exit_B,0.75,41.95,92.31,13
ETHUSDT_4h,BB_Reversal,,BB_Exit_B,0.7,41.84,92.31,13
BTCUSDT_4h,RSI,30.0,RSI,60.0,41.53,95.65,23
ETHUSDT_4h,RSI,25.0,SuperTrend,,41.47,94.44,18
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.7,41.13,96.43,28
BTCUSDT_4h,RSI,40.0,RSI,60.0,40.98,96.67,30
BTCUSDT_4h,KAMA_SuperTrend,,RSI,60.0,40.85,97.06,34
ETHUSDT_1d,RSI,25.0,RSI,50.0,40.6,100.0,3
BTCUSDT_4h,RSI,40.0,BB_Exit_A,,40.53,97.92,48
ETHUSDT_1h,RSI,25.0,BB_Exit_B,0.6,40.49,96.3,27
ETHUSDT_1d,RSI,25.0,RSI,45.0,39.97,100.0,3
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.65,39.8,88.89,9
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.7,39.8,88.89,9
BTCUSDT_4h,RSI,40.0,RSI,50.0,39.29,97.87,47
BTCUSDT_1h,RSI,20.0,RSI,45.0,38.67,100.0,29
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.65,38.17,96.43,28
BTCUSDT_1h,RSI,20.0,RSI,50.0,37.98,100.0,28
ETHUSDT_4h,BB_Reversal,,BB_Exit_B,0.8,37.07,91.67,12
BTCUSDT_1d,RSI,25.0,BB_Exit_B,0.85,36.68,100.0,4
BTCUSDT_1h,RSI,20.0,RSI,40.0,36.17,100.0,29
BTCUSDT_4h,RSI,30.0,RSI,40.0,36.02,97.37,38
ETHUSDT_4h,BB_Reversal,,RSI,45.0,35.43,97.37,38
ETHUSDT_4h,RSI,30.0,SuperTrend,,34.75,95.24,21
ETHUSDT_4h,RSI,25.0,RSI,60.0,34.7,94.44,18
BTCUSDT_4h,RSI,20.0,BB_Exit_B,0.85,34.47,100.0,8
BTCUSDT_4h,RSI,20.0,BB_Exit_B,0.8,34.43,100.0,8
ETHUSDT_1h,RSI,40.0,RSI,40.0,34.36,99.17,120
BTCUSDT_4h,RSI,20.0,BB_Exit_B,0.75,34.26,100.0,8
ETHUSDT_4h,BB_Reversal,,RSI,40.0,33.92,97.5,40
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.85,33.86,90.0,10
BTCUSDT_1d,RSI,25.0,SuperTrend,,33.41,100.0,4
ETHUSDT_1d,RSI,25.0,BB_Exit_A,,33.29,100.0,3
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.9,33.04,88.89,9
ETHUSDT_1h,RSI,30.0,BB_Exit_B,0.75,32.78,97.5,40
ETHUSDT_1h,RSI,30.0,RSI,45.0,32.74,97.96,49
BTCUSDT_4h,RSI,20.0,BB_Exit_B,0.9,32.71,100.0,8
BTCUSDT_4h,RSI,20.0,RSI,45.0,32.5,100.0,8
BTCUSDT_1h,RSI,25.0,RSI,45.0,31.68,98.21,56
BTCUSDT_1h,RSI,25.0,RSI,50.0,31.39,98.15,54
ETHUSDT_1h,RSI,25.0,RSI,40.0,30.47,97.37,38
BTCUSDT_4h,RSI,20.0,BB_Exit_B,0.7,30.26,100.0,8
ETHUSDT_1h,RSI,40.0,RSI,45.0,29.61,98.73,79
BTCUSDT_1h,RSI,25.0,RSI,40.0,29.51,98.28,58
ETHUSDT_1d,RSI,25.0,RSI,40.0,29.13,100.0,3
BTCUSDT_1d,RSI,25.0,RSI,60.0,28.54,100.0,4
ETHUSDT_4h,RSI,30.0,BB_Exit_B,0.85,28.53,90.0,10
BTCUSDT_1d,RSI,25.0,RSI,40.0,28.05,100.0,4
BTCUSDT_4h,RSI,20.0,BB_Exit_B,0.65,28.0,100.0,8
BTCUSDT_4h,RSI,20.0,BB_Exit_B,0.6,28.0,100.0,8
BTCUSDT_4h,RSI,20.0,RSI,40.0,27.87,100.0,8
ETHUSDT_1h,RSI,30.0,BB_Exit_B,0.7,27.41,97.62,42
ETHUSDT_1d,RSI,25.0,BB_Exit_B,0.6,27.32,100.0,3
ETHUSDT_1d,RSI,30.0,RSI,50.0,27.04,83.33,6
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.9,26.81,90.0,10
BTCUSDT_1d,RSI,25.0,RSI,50.0,26.8,100.0,4
BTCUSDT_1d,RSI,25.0,RSI,45.0,26.35,100.0,4
