Symbol_TF,Entry,Entry_Param,Exit,Exit_Param,PnL%,Win_Rate%,Trades
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.7,115.58,95.24,21
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.65,115.58,95.45,22
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.8,115.06,94.12,17
BTCUSDT_1h,KAMA_SuperTrend,,SuperTrend,,114.86,98.8,83
BTCUSDT_1d,RSI,40.0,RSI,60.0,114.25,93.75,16
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.6,113.24,96.0,25
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.65,112.7,100.0,17
ETHUSDT_4h,RSI,25.0,RSI,50.0,112.3,100.0,23
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.8,109.51,98.39,62
BTCUSDT_1h,RSI,40.0,RSI,45.0,109.25,99.38,161
BTCUSDT_4h,RSI,25.0,RSI,50.0,108.35,100.0,22
ETHUSDT_4h,RSI,25.0,RSI,45.0,108.15,100.0,24
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_A,,106.86,99.4,168
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.9,106.83,100.0,20
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.6,106.75,100.0,17
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.85,106.75,93.75,16
ETHUSDT_4h,RSI,30.0,RSI,50.0,106.5,96.55,29
ETHUSDT_1h,RSI,20.0,RSI,50.0,106.48,97.83,46
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.7,105.77,98.46,65
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.9,105.72,93.33,15
BTCUSDT_1h,RSI,40.0,BB_Exit_A,,105.2,99.15,118
BTCUSDT_1h,BB_Reversal,,RSI,60.0,104.34,98.92,93
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.9,104.33,92.86,14
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.7,103.93,96.67,30
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.85,103.62,87.5,8
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.75,103.42,98.44,64
BTCUSDT_1h,BB_Reversal,,RSI,50.0,103.3,99.35,153
ETHUSDT_4h,RSI,25.0,BB_Exit_A,,103.13,100.0,24
ETHUSDT_4h,RSI,30.0,RSI,40.0,102.6,97.37,38
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.65,102.26,98.48,66
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.85,102.05,94.44,18
BTCUSDT_1d,BB_Reversal,,RSI,60.0,100.83,93.33,15
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.6,100.5,98.51,67
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.8,99.69,97.22,36
BTCUSDT_1d,BB_Reversal,,RSI,50.0,99.51,95.0,20
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.85,99.39,97.14,35
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.8,99.08,94.74,19
BTCUSDT_1d,RSI,30.0,SuperTrend,,98.66,87.5,8
ETHUSDT_1d,RSI,40.0,RSI,50.0,98.16,94.74,19
BTCUSDT_1h,RSI,40.0,RSI,40.0,97.77,99.51,206
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.6,96.69,96.97,33
BTCUSDT_1h,BB_Reversal,,SuperTrend,,95.83,99.06,106
BTCUSDT_1h,RSI,40.0,BB_Exit_B,0.6,95.79,99.07,108
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.7,95.54,96.15,26
BTCUSDT_4h,BB_Reversal,,BB_Exit_A,,95.51,98.28,58
ETHUSDT_1h,RSI,20.0,BB_Exit_A,,95.46,97.87,47
