Symbol_TF,TC1_Strategy,TC1_PnL%,TC1_WinRate%,TC1_Trades,TC2_Strategy,TC2_PnL%,TC2_WinRate%,TC2_Trades,Winner,PnL_Difference
BTCUSDT_1h,BB_Reversal + BB_Exit_B,158.04,99.08,109,Ichimoku+MS (MTF+ADX),-8.09,47.37,19,TC1,166.13
BTCUSDT_4h,RSI(30.0) + BB_Exit_B,164.89,96.15,26,Ichimoku+MS (MTF+ADX),-15.75,37.5,40,TC1,180.64
BTCUSDT_1d,RSI(40.0) + BB_Exit_B,242.57,94.74,19,Ichimoku+MS (MTF+ADX),27.72,51.61,31,TC1,214.85
ETHUSDT_1h,BB_Reversal + RSI,159.75,99.37,158,Ichimoku+MS (MTF+ADX),-15.62,52.0,25,TC1,175.37
ETHUSDT_4h,RSI(25.0) + BB_Exit_B,167.57,100.0,22,Ichimoku+MS (MTF+ADX),-32.54,33.33,24,TC1,200.11
ETHUSDT_1d,RSI(40.0) + BB_Exit_B,429.94,94.44,18,Ichimoku+MS (MTF+ADX),14.41,45.0,20,TC1,415.53
